contract_id,date
ag2006,2020/6/15
ag1612,2016/12/15
ag1806,2018/6/15
ag1812,2018/12/17
ag1912,2019/12/16
ag1512,2015/12/15
ag2106,2021/6/15
ag2212,2022/12/15
ag2012,2020/12/15
ag1712,2017/12/15
ag2102,2021/2/5
ag1606,2016/6/15
ag2112,2021/12/15
ag1506,2015/6/15
ag2206,2022/6/15
ag1906,2019/6/17
ag2002,2020/2/17
ag1706,2017/6/15
al2007,2020/7/15
al1512,2015/12/15
al1809,2018/9/17
al1706,2017/6/15
al1801,2018/1/15
al1708,2017/8/15
al1911,2019/11/15
al1505,2015/5/15
al1703,2017/3/15
al2105,2021/5/17
al2207,2022/7/15
al1610,2016/10/17
al1712,2017/12/15
al2203,2022/3/15
al2001,2020/1/15
al1802,2018/2/9
al2204,2022/4/15
al1510,2015/10/15
al1812,2018/12/17
al1509,2015/9/15
al2201,2022/1/17
al2004,2020/4/15
al1807,2018/7/16
al1707,2017/7/17
al1507,2015/7/15
al2111,2021/11/15
al1511,2015/11/16
al1811,2018/11/15
al1804,2018/4/16
al1605,2016/5/16
al1909,2019/9/16
al1808,2018/8/15
al1503,2015/3/16
al1710,2017/10/16
al1905,2019/5/15
al2101,2021/1/15
al1805,2018/5/15
al2106,2021/6/15
al1508,2015/8/17
al2202,2022/2/15
al2109,2021/9/15
al1608,2016/8/15
al1704,2017/4/17
al1504,2015/4/15
al2103,2021/3/15
al1611,2016/11/15
al2006,2020/6/15
al1701,2017/1/16
al2010,2020/10/15
al2209,2022/9/15
al1609,2016/9/19
al2008,2020/8/17
al1506,2015/6/15
al1803,2018/3/15
al1904,2019/4/15
al1606,2016/6/15
al1902,2019/2/15
al2107,2021/7/15
al2102,2021/2/5
al2002,2020/2/17
al2110,2021/10/15
al1910,2019/10/15
al1908,2019/8/15
al1810,2018/10/15
al2009,2020/9/15
al1705,2017/5/15
al1603,2016/3/15
al1604,2016/4/15
al1612,2016/12/15
al1912,2019/12/16
al2112,2021/12/15
al1806,2018/6/15
al2104,2021/4/15
al2206,2022/6/15
al2205,2022/5/16
al1702,2017/2/15
al1711,2017/11/15
al2208,2022/8/15
al2012,2020/12/15
al1607,2016/7/15
al1602,2016/2/15
al2108,2021/8/16
al2011,2020/11/16
al1901,2019/1/15
al1709,2017/9/15
al1903,2019/3/15
al1907,2019/7/15
al1906,2019/6/17
al2005,2020/5/15
al2003,2020/3/16
al1601,2016/1/15
au2106,2021/6/15
au1506,2015/6/15
au1812,2018/12/17
au1806,2018/6/15
au2112,2021/12/15
au2206,2022/6/15
au1606,2016/6/15
au2208,2022/8/15
au2002,2020/2/17
au1612,2016/12/15
au1912,2019/12/16
au2006,2020/6/15
au1906,2019/6/17
au2212,2022/12/15
au2012,2020/12/15
au1706,2017/6/15
au2202,2022/2/15
au1512,2015/12/15
au2102,2021/2/5
au1712,2017/12/15
a2009,2020/9/14
a2209,2022/9/15
a2207,2022/7/14
a2005,2020/5/19
a1605,2016/5/16
a2105,2021/5/19
a1909,2019/9/16
a1801,2018/1/15
a1709,2017/9/14
a2101,2021/1/15
a2001,2020/1/15
a2201,2022/1/17
a1509,2015/9/16
a1901,2019/1/15
a2203,2022/3/14
a1601,2016/1/15
a1701,2017/1/16
a1705,2017/5/15
a1805,2018/5/15
a1905,2019/5/17
a1505,2015/5/15
a1609,2016/9/14
a2111,2021/11/12
a1809,2018/9/14
a2109,2021/9/14
bu1506,2015/6/15
bu1706,2017/6/15
bu1806,2018/6/15
bu1601,2016/1/15
bu2112,2021/12/15
bu2201,2022/1/17
bu2012,2020/12/15
bu2006,2020/6/15
bu2106,2021/6/15
bu1509,2015/9/15
bu1612,2016/12/15
bu1812,2018/12/17
bu1606,2016/6/15
bu1712,2017/12/15
bu2209,2022/9/15
bu1906,2019/6/17
bu2109,2021/9/15
bu2206,2022/6/15
bu1609,2016/9/19
bu1709,2017/9/15
bu1512,2015/12/15
bu1912,2019/12/16
bu2101,2021/1/15
CF201,2022/1/17
CF605,2016/5/16
CF109,2021/9/14
CF609,2016/9/14
CF205,2022/5/18
CF105,2021/5/19
CF809,2018/9/14
CF805,2018/5/15
CF009,2020/9/14
CF801,2018/1/15
